datetime,sentiment_score
2025-04-17 00:00:00,0.9623
2025-04-17 01:00:00,0.296
2025-04-17 01:58:00,0.9979
2025-04-17 02:33:00,0.984
2025-04-17 03:49:00,0.8968
2025-04-17 04:49:00,-0.7269
2025-04-17 05:14:00,0.9992
2025-04-17 06:10:00,0.9959
2025-04-17 06:42:00,0.9989
2025-04-17 06:42:00,0.9988
2025-04-17 07:27:00,0.9965
2025-04-17 07:39:00,0.3384
2025-04-17 08:54:00,0.0258
2025-04-17 09:29:00,0.9975
2025-04-17 09:29:00,0.9971
2025-04-17 09:29:00,0.997
2025-04-17 09:29:00,0.9979
2025-04-17 09:29:00,0.997
2025-04-17 09:29:00,0.9965
2025-04-17 09:55:00,0.0
2025-04-17 11:38:00,0.994
2025-04-17 11:45:00,0.9712
2025-04-17 12:01:00,0.9977
2025-04-17 13:33:00,0.8934
2025-04-17 13:45:00,0.9559
2025-04-17 13:48:00,-0.7269
2025-04-17 13:55:00,0.6652
2025-04-17 13:56:00,0.9259
2025-04-17 14:21:00,0.8627
2025-04-17 14:25:00,0.6705
2025-04-17 14:26:00,-0.0926
2025-04-17 14:38:00,-0.3612
2025-04-17 14:45:00,0.0
2025-04-17 14:48:00,-0.6242
2025-04-17 14:52:00,0.2263
2025-04-17 14:55:00,0.8887
2025-04-17 14:56:00,0.996
2025-04-17 14:56:00,0.9973
2025-04-17 15:00:00,0.9989
2025-04-17 15:10:00,0.9921
2025-04-17 15:11:00,0.8043
2025-04-17 15:12:00,-0.9397
2025-04-17 15:26:00,0.9595
2025-04-17 15:28:00,0.9977
2025-04-17 15:29:00,0.9863
2025-04-17 15:33:00,0.9916
2025-04-17 15:35:00,0.6249
2025-04-17 15:36:00,-0.872
2025-04-17 15:42:00,0.4939
2025-04-17 15:44:00,-0.3156
2025-04-17 15:46:00,-0.9377
2025-04-17 15:46:00,0.9337
2025-04-17 15:59:00,-0.2144
2025-04-17 15:59:00,0.9636
2025-04-17 16:04:00,0.2249
2025-04-17 16:05:00,0.7269
2025-04-17 16:09:00,0.0194
2025-04-17 16:38:00,-0.0813
2025-04-17 16:45:00,0.7402
2025-04-17 17:02:00,0.262
2025-04-17 17:03:00,0.0
2025-04-17 17:05:00,0.0
2025-04-17 17:07:00,0.1901
2025-04-17 17:19:00,0.9917
2025-04-17 17:36:00,-0.9828
2025-04-17 17:54:00,0.8858
2025-04-17 18:05:00,0.9958
2025-04-17 18:11:00,0.296
2025-04-17 18:18:00,0.4939
2025-04-17 18:21:00,0.9776
2025-04-17 18:40:00,-0.7263
2025-04-17 19:00:00,0.9987
2025-04-17 19:00:00,0.998
2025-04-17 19:25:00,-0.9434
2025-04-17 20:17:00,-0.7345
2025-04-17 20:27:00,-0.872
2025-04-17 20:31:00,-0.2144
2025-04-17 20:37:00,-0.8807
2025-04-17 20:49:00,0.9636
2025-04-17 21:00:00,0.0
2025-04-17 21:08:00,0.9942
2025-04-17 21:08:00,-0.6705
2025-04-17 21:10:00,0.9348
2025-04-17 22:16:00,0.9582
2025-04-17 23:09:00,0.4215
2025-04-17 23:30:00,0.9976
2025-04-18 01:17:00,0.9991
2025-04-18 01:19:00,0.2999
2025-04-18 01:40:00,0.9735
2025-04-18 01:41:00,0.9775
2025-04-18 02:55:00,0.9712
2025-04-18 03:27:00,0.9855
2025-04-18 03:50:00,0.9927
2025-04-18 05:00:00,0.9954
2025-04-18 06:00:00,0.0258
2025-04-18 06:04:00,0.9981
2025-04-18 06:04:00,0.9727
2025-04-18 06:32:00,0.999
2025-04-18 06:40:00,0.9891
2025-04-18 07:12:00,0.9987
2025-04-18 07:15:00,0.9988
2025-04-18 08:04:00,0.9989
2025-04-18 08:20:00,0.9812
2025-04-18 10:00:00,0.93
2025-04-18 10:15:00,0.9405
2025-04-18 10:34:00,-0.6249
2025-04-18 10:45:00,0.8802
2025-04-18 11:15:00,0.9977
2025-04-18 11:19:00,0.9989
2025-04-18 11:19:00,0.9989
2025-04-18 11:19:00,0.9988
2025-04-18 11:19:00,0.9984
2025-04-18 11:37:00,0.9918
2025-04-18 11:45:00,0.9939
2025-04-18 12:00:00,0.9986
2025-04-18 12:00:00,0.9988
2025-04-18 12:00:00,0.9991
2025-04-18 12:00:00,0.9966
2025-04-18 12:19:00,-0.9324
2025-04-18 12:19:00,-0.9324
2025-04-18 12:29:00,0.8356
2025-04-18 12:30:00,0.9986
2025-04-18 12:45:00,0.9957
2025-04-18 13:00:00,0.9983
2025-04-18 13:36:00,0.0258
2025-04-18 13:44:00,0.999
2025-04-18 13:44:00,0.9993
2025-04-18 13:44:00,0.9983
2025-04-18 13:56:00,0.8126
2025-04-18 15:09:00,0.0
2025-04-18 15:40:00,0.95
2025-04-18 15:40:00,0.9703
2025-04-18 15:41:00,0.9762
2025-04-18 15:41:00,0.974
2025-04-18 15:55:00,-0.8856
2025-04-18 16:27:00,-0.8039
2025-04-18 17:09:00,0.7579
2025-04-18 17:18:00,0.9879
2025-04-18 18:08:00,0.8612
2025-04-18 19:08:00,0.9797
2025-04-18 20:15:00,0.5515
2025-04-18 21:07:00,0.9625
2025-04-18 21:12:00,0.9507
